@RELATION detection
@ATTRIBUTE area NUMERIC
@ATTRIBUTE min_axis NUMERIC
@ATTRIBUTE max_axis NUMERIC
@ATTRIBUTE intensity NUMERIC
@ATTRIBUTE rel_mean_depth NUMERIC
@ATTRIBUTE rel_max_depth NUMERIC
@ATTRIBUTE valid_depth_readings NUMERIC
@ATTRIBUTE class {M20_horizontal, R20_horizontal, F20_20_G_horizontal, F20_20_B_horizontal, V20_horizontal, M20_100_horizontal, S40_40_G_horizontal, S40_40_B_horizontal, M30_horizontal}
@DATA
532.5,25.0,26.0,83.0142857143,0.00303030420433,0.0135000226173,132,M20_horizontal
588.5,27.0,27.0,88.0901639344,0.678439456737,0.678439456737,0,M20_horizontal
506.0,23.0,25.0,84.7990430622,0.682838365821,0.682838365821,0,M20_horizontal
529.5,23.0217288664,28.3019433962,76.5024875622,0.000692316174669,0.0017930214278,139,M20_horizontal
525.0,25.2388589282,26.0768096208,86.3214285714,-0.000392858961695,8.88866607589e-05,137,M20_horizontal
525.0,24.0416305603,27.5862284483,80.3418367347,9.64715241566e-05,0.000989902644388,122,M20_horizontal
508.5,22.0,27.0,95.9019607843,5.18128793816e-05,0.00223013624068,129,M20_horizontal
531.5,23.0,28.0,119.355450237,0.000218929037631,0.00388089905529,142,M20_horizontal
584.5,25.0,27.0,103.571428571,0.675844761032,0.675844761032,0,M20_horizontal
562.0,26.0,26.0,106.725321888,0.670881053373,0.670881053373,0,M20_horizontal
373.0,18.0,25.0,92.3660714286,0.00016518116194,0.00114850183525,60,M20_horizontal
504.0,24.0,26.0,74.5235602094,0.000987720133393,0.00201250476142,121,M20_horizontal
522.0,22.5610283454,28.4429253067,80.684729064,-0.000567929434128,0.000878333922514,121,M20_horizontal
557.5,25.0,27.0,74.5670995671,0.682330648144,0.682330648144,0,M20_horizontal
525.0,24.0,25.0,80.2191780822,0.682516946884,0.682516946884,0,M20_horizontal
559.0,26.0,26.0,97.8173913043,-0.000313726636482,0.00213709665883,122,M20_horizontal
385.0,18.0277563773,27.4590604355,55.3818181818,-0.000792046033745,-0.000418915619721,67,M20_horizontal
417.5,17.88854382,28.6356421266,61.096,-0.000229651301505,0.000373515536035,63,M20_horizontal
581.5,25.0,27.0,111.047058824,-0.000463646819282,0.000506037665952,132,M20_horizontal
584.0,25.0,29.0,86.8025210084,0.67905859265,0.67905859265,0,M20_horizontal
552.5,25.4558441227,26.1725046566,90.9534883721,-0.000321994512395,-0.000206349742791,147,M20_horizontal
544.5,26.0,26.0,86.1822429907,-0.000413301189695,8.6692792754e-05,142,M20_horizontal
570.5,25.4558441227,27.5862284483,82.796460177,-0.000341334770543,0.0157910453854,136,M20_horizontal
393.0,18.3575597507,27.2946881279,60.6949152542,0.00959360177638,0.0175173482895,118,M20_horizontal
507.0,22.6715680975,28.4253408071,72.972826087,-0.000403393488196,0.00104006722507,115,M20_horizontal
323.0,19.0,22.0,37.4487179487,0.00083648938934,0.00135731601715,48,M20_horizontal
611.0,27.0,27.0,105.943820225,4.63037349125e-05,0.00147265859414,129,M20_horizontal
504.5,22.0,27.0,98.3564356436,0.0019666744474,0.0169999954306,150,M20_horizontal
502.5,23.3238075794,28.6530975638,85.8390804598,-0.00033108099975,0.000223599358869,128,M20_horizontal
521.0,24.0,26.0,81.4830917874,-0.000329504734713,0.00190123577579,143,M20_horizontal
537.0,24.0,28.0,71.3719806763,0.000389017062472,0.00361289841033,134,M20_horizontal
511.5,22.0,28.0,94.7222222222,0.000348897958714,0.00288623610524,134,M20_horizontal
578.5,26.0,27.0,82.0661157025,-0.000398770617819,0.00119245064164,137,M20_horizontal
473.5,20.0,28.0,77.2816091954,-0.000154959440668,0.00107980778899,115,M20_horizontal
